Beverages;Ipoh Coffee;1996-08-01 00:00:00.000;Wartian Herkku;25
Dairy Products;Geitost;1996-08-01 00:00:00.000;Split Rail Beer & Ale;24
Seafood;Inlagd Sill;1996-08-01 00:00:00.000;Wartian Herkku;30
Dairy Products;Mozzarella di Giovanni;1996-08-02 00:00:00.000;Rattlesnake Canyon Grocery;24
Confections;Sir Rodney's Marmalade;1996-08-02 00:00:00.000;Rattlesnake Canyon Grocery;6
Dairy Products;Gorgonzola Telino;1996-08-02 00:00:00.000;Rattlesnake Canyon Grocery;40
Dairy Products;Gorgonzola Telino;1996-08-05 00:00:00.000;QUICK-Stop;15
Seafood;Ikura;1996-08-05 00:00:00.000;QUICK-Stop;24
Dairy Products;Geitost;1996-08-05 00:00:00.000;QUICK-Stop;20
Beverages;Lakkalikööri;1996-08-05 00:00:00.000;QUICK-Stop;33
Seafood;Boston Crab Meat;1996-08-05 00:00:00.000;QUICK-Stop;60
Dairy Products;Flotemysost;1996-08-06 00:00:00.000;Vins et alcools Chevalier;20
Dairy Products;Mozzarella di Giovanni;1996-08-06 00:00:00.000;Vins et alcools Chevalier;7
Dairy Products;Raclette Courdavault;1996-08-07 00:00:00.000;Magazzini Alimentari Riuniti;6
Beverages;Guaraná Fantástica;1996-08-07 00:00:00.000;Magazzini Alimentari Riuniti;12
Seafood;Ikura;1996-08-08 00:00:00.000;Tortuga Restaurante;15
Seafood;Konbu;1996-08-08 00:00:00.000;Tortuga Restaurante;10
Confections;Tarte au sucre;1996-08-09 00:00:00.000;Morgenstern Gesundkost;12
Dairy Products;Raclette Courdavault;1996-08-12 00:00:00.000;Berglunds snabbköp;15
Condiments;Gula Malacca;1996-08-12 00:00:00.000;Berglunds snabbköp;16
Condiments;Vegie-spread;1996-08-12 00:00:00.000;Berglunds snabbköp;8
Seafood;Röd Kaviar;1996-08-12 00:00:00.000;Berglunds snabbköp;25
Confections;Teatime Chocolate Biscuits;1996-08-14 00:00:00.000;Romero y tomillo;1
Beverages;Guaraná Fantástica;1996-08-14 00:00:00.000;Berglunds snabbköp;12
Beverages;Guaraná Fantástica;1996-08-14 00:00:00.000;Romero y tomillo;6
Beverages;Steeleye Stout;1996-08-14 00:00:00.000;Romero y tomillo;4
Beverages;Rhönbräu Klosterbier;1996-08-14 00:00:00.000;Berglunds snabbköp;30
Seafood;Nord-Ost Matjeshering;1996-08-15 00:00:00.000;Romero y tomillo;6
Confections;Teatime Chocolate Biscuits;1996-08-16 00:00:00.000;LILA-Supermercado;18
Condiments;Genen Shouyu;1996-08-16 00:00:00.000;LILA-Supermercado;20
Dairy Products;Camembert Pierrot;1996-08-16 00:00:00.000;LILA-Supermercado;35
Dairy Products;Mozzarella di Giovanni;1996-08-16 00:00:00.000;LILA-Supermercado;3
Dairy Products;Camembert Pierrot;1996-08-19 00:00:00.000;Lehmanns Marktstand;20
Confections;Schoggi Schokolade;1996-08-19 00:00:00.000;Lehmanns Marktstand;15
Condiments;Gula Malacca;1996-08-19 00:00:00.000;Lehmanns Marktstand;21
Beverages;Laughing Lumberjack Lager;1996-08-19 00:00:00.000;Lehmanns Marktstand;5
Beverages;Chai;1996-08-20 00:00:00.000;QUICK-Stop;45
Seafood;Boston Crab Meat;1996-08-20 00:00:00.000;QUICK-Stop;40
Beverages;Steeleye Stout;1996-08-21 00:00:00.000;QUICK-Stop;100
Confections;Tarte au sucre;1996-08-21 00:00:00.000;QUICK-Stop;40
Beverages;Sasquatch Ale;1996-08-22 00:00:00.000;Ricardo Adocicados;20
Confections;Pavlova;1996-08-22 00:00:00.000;Ricardo Adocicados;40
Seafood;Spegesild;1996-08-22 00:00:00.000;Ricardo Adocicados;15
Confections;Scottish Longbreads;1996-08-23 00:00:00.000;Reggiani Caseifici;3
Condiments;Aniseed Syrup;1996-08-26 00:00:00.000;B's Beverages;30
Condiments;Gula Malacca;1996-08-27 00:00:00.000;Que Delícia;24
Condiments;Chef Anton's Gumbo Mix;1996-08-27 00:00:00.000;Comércio Mineiro;20
Condiments;Original Frankfurter grüne Soße;1996-08-27 00:00:00.000;Comércio Mineiro;10
Confections;Maxilaku;1996-08-27 00:00:00.000;Comércio Mineiro;15
Seafood;Konbu;1996-08-27 00:00:00.000;Que Delícia;20
Confections;Sir Rodney's Marmalade;1996-08-28 00:00:00.000;Tradição Hipermercados;20
Seafood;Carnarvon Tigers;1996-08-29 00:00:00.000;Tortuga Restaurante;12
Condiments;Vegie-spread;1996-08-29 00:00:00.000;Tortuga Restaurante;5
Beverages;Rhönbräu Klosterbier;1996-08-29 00:00:00.000;Tortuga Restaurante;6
Beverages;Guaraná Fantástica;1996-08-29 00:00:00.000;Tortuga Restaurante;10
Beverages;Chai;1996-08-30 00:00:00.000;Rattlesnake Canyon Grocery;18
Beverages;Rhönbräu Klosterbier;1996-08-30 00:00:00.000;Rattlesnake Canyon Grocery;6
Beverages;Ipoh Coffee;1996-08-30 00:00:00.000;Rattlesnake Canyon Grocery;15
